Name,Symbol,Price,Day,Screen,Probability Up,Rating,Test Acc,Baseline,Model,Risk,Reward Risk,To Support,To Resistance,Buy Score
Cambridge Technology Enterprises Limited,CTE.NS,41.369998931884766,-0.020596655113902185,SELL,0.44948220661281596,Sell,0.6161290322580645,0.5806451612903225,Global,10.0,2.9373229916069734,0.11800737476076528,0.3050520442932745,47.828794779395174
United Spirits Limited,UNITDSPR.NS,1395.0,-0.0035714285714285587,HOLD,0.45692583598758096,Neutral,0.5309446254071661,0.5439739413680782,Global,4.1,3.947724657299407,0.012039489721515473,0.016473279394477958,47.80999673693206
Delta Corp Limited,DELTACORP.NS,54.150001525878906,-0.003496478214491394,HOLD,0.4704611719569092,Neutral,0.6742671009771987,0.6612377850162867,Global,6.6,3.9868390014439132,0.13045444707708098,0.19594992841742398,47.80008750909435
Kaushalya Infrastructure Development Corporation Limited,KAUSHALYA.NS,825.2000122070312,-0.01826182357844286,HOLD,0.46063466665302366,Neutral,0.6317460317460317,0.6095238095238096,Global,7.5,3.3841812789200407,0.02828661957262457,0.10954917884959792,47.79912575359321
Sobha Limited,SOBHA.NS,1216.800048828125,-0.015294896083653864,SELL,0.44410372369886675,Sell,0.6045016077170418,0.5980707395498392,Global,5.5,4.659102615055186,0.08122799223493127,0.18670377230184898,47.776063459696026
Blue Star Limited,BLUESTARCO.NS,1558.0,0.029062087186261465,HOLD,0.45828082436879763,Neutral,0.5811688311688312,0.5616883116883117,Global,5.7,2.405540114494036,0.002330887919351765,0.09712261018100654,47.775928514915925
Bhagiradha Chemicals & Industries Limited,BHAGCHEM.NS,258.75,0.0021300843027372007,SELL,0.4325405794767862,Sell,0.6334841628959276,0.6153846153846154,Global,6.5,5.070559589212892,0.01430809019660817,0.02273544951434081,47.7454757535884
JINDAL STEEL LIMITED,JINDALSTEL.NS,1120.5,-0.014511873350923521,HOLD,0.4585867993047978,Neutral,0.5551948051948052,0.5357142857142857,Global,5.2,2.627530126701451,0.029916893070311756,0.005161300680744052,47.7208836153051
Vijaya Diagnostic Centre Limited,VIJAYA.NS,1502.0,0.0021350087187259614,HOLD,0.4552433362565694,Neutral,0.5619469026548672,0.5221238938053097,Global,5.1,1.9428170642805511,0.043055555555555625,0.04727030625832218,47.67898807756784
Orient Technologies Limited,ORIENTTECH.NS,249.63999938964844,0.06067300621288663,HOLD,0.4667107943926852,Neutral,0.6404494382022472,0.6179775280898876,Global,7.8,5.7576628626873525,0.029613101035068867,0.19355869325255792,47.66586800342733
The Orissa Minerals Development Company Limited,ORISSAMINE.NS,3955.199951171875,-0.02927967820054611,HOLD,0.48307308732913024,Neutral,0.6601307189542484,0.6339869281045751,Global,6.8,2.228687337598428,0.00887665791628045,0.1091727483209004,47.66264342741103
Canara Bank,CANBK.NS,124.0,-0.004815397122542642,SELL,0.448060312031137,Sell,0.540453074433657,0.540453074433657,Global,4.1,5.136221776436742,0.008130081300812941,0.06689514652375261,47.65992617066255
WE WIN LIMITED,WEWIN.NS,42.459999084472656,-0.012328508334523147,HOLD,0.459909073340315,Neutral,0.6666666666666666,0.6357388316151202,Global,8.3,2.919812445053534,0.038141748175893886,0.12133777824335978,47.65232265369817
Shipping Corporation Of India Limited,SCI.NS,280.6000061035156,-0.016129052968540614,HOLD,0.4553297439869248,Neutral,0.5954692556634305,0.5598705501618123,Global,5.6,1.6882643019474879,0.08206989051810099,0.07865404098963635,47.60031933755934
Rajesh Exports Limited,RAJESHEXPO.NS,78.30000305175781,-0.013232456742966692,SELL,0.42936952618127683,Sell,0.659016393442623,0.6229508196721312,Global,8.2,7.9428491353360045,0.044000040690104214,0.3727968540782376,47.58486669992898
Bharat Road Network Limited,BRNL.NS,16.729999542236328,0.004804800332669057,SELL,0.4446799152447635,Sell,0.6360655737704918,0.6295081967213114,Global,5.5,4.250697922397452,0.004201662392877559,0.19545729511278664,47.558215345067445
Larsen & Toubro Limited,LT.NS,3930.699951171875,-0.006144133711283195,SELL,0.4449677436908946,Sell,0.5941558441558441,0.564935064935065,Global,4.0,1.9545609302203637,0.023011586225658798,0.04350089707572935,47.555078604137286
Tips Music Limited,TIPSMUSIC.NS,661.5499877929688,0.004784269839159805,HOLD,0.4526365757261646,Neutral,0.6298701298701299,0.5876623376623377,Global,4.8,2.0,0.061349895461465964,0.046179409502958624,47.51586801197968
Godfrey Phillips India Limited,GODFRYPHLP.NS,1927.0,-0.022819472616632863,HOLD,0.47131525664796986,Neutral,0.6372549019607843,0.6209150326797386,Global,6.3,3.522350259110512,0.04148905561641958,0.11907425944078764,47.47238431476178
Tata Elxsi Limited,TATAELXSI.NS,3383.0,-0.007626870049867951,SELL,0.447021044104238,Sell,0.6302250803858521,0.6205787781350482,Global,6.0,10.333642091171482,0.008676495573381349,0.14011232633757031,47.4452239332426
